Comment,Designator,Footprint,LCSC Part #
0.1uF,C3 C20,C0402,C307331
Fheader,JP1 JP2 JP3 JP4 JP5 JP6 JP7 JP8,_1X02,C2889984
0.47uF,C4,C0603,C1623
1.5k,R6 R7,R0402,C25867
1M,R8,R0402,C26083
1uF,C5 C6 C7 C9 C10,C0603,C15849
2.2k,R1,R0402,C25879
4.7nF,C8,C0402,C1538
4.7uF,C1 C2,C0603,C19666
5.1k,R9 R10,R0402,C25905
10k,R2 R3 R5 R13,R0402,C25744
10uF,C14 C18 C19,C0603,C96446
20k,R11,R0402,C25765
22uF,C15 C16 C17,C0603,C59461
68k,R12,R0402,C36871
100k,R15,R0402,C25741
100uF,C11 C12,153CLV-0505,C3347
820k,R4,R0402,C67558
AO3400ACON,U4 U5 U6 U7 U8 U9 U10 U11,SOT23-BCE,C20917
ATSAMD21E17D-MUT,U1,QFN32_5X5MC_MCH,C614245
B4013AM423,U$2,B4013AM423,C233794
Green,LED2,CHIPLED_0603,C72043
HPC6045NF,U$5,HPC6045NF,C357076
LM4890MX/NOPB,U$3,M08A,C117476
OPA2344UA,U2,D8,C202213
PMIC-LDO-XC6206P332MR-G(SOT23),U3,SOT-23,C5446
PTR1PAD1-13,SWC SWC1 SWC2 SWD,P1-13,
RED,LED1,CHIPLED_0805,C84256
TPS63070RNMR,U12,VREG_TPS63070RNMR,C2876599
TS-1187A-B-A-B,S1,SW_TS-1187A-B-A-B,C318884
USB-C,U$1,918-418K2022Y40000,C168704
