Designator,Mid X,Mid Y,Layer,Rotation
C1,20.37,32.50,Top,0.0
C2,30.38,39.65,Top,270.0
C3,25.88,35.43,Top,0.0
C4,34.90,28.38,Top,180.0
C5,21.80,19.06,Top,180.0
C6,33.63,25.63,Top,180.0
C7,35.50,20.25,Top,270.0
C8,26.10,31.38,Top,90.0
C9,40.13,32.98,Top,270.0
C10,30.88,32.90,Top,90.0
C11,35.88,42.38,Top,330.0
C12,18.13,42.38,Top,210.0
C14,38.56, 9.94,Top,210.0
C15,35.88, 8.38,Top,30.0
C16,34.81, 4.69,Top,300.0
C17,33.25, 7.38,Top,120.0
C18,40.69,11.63,Top,120.0
C19,42.25, 8.94,Top,300.0
C20,33.38,12.94,Top,210.0
JP1,13.56,15.38,Top,210.0
JP2,30.13, 9.56,Top,270.0
JP3,43.52,20.62,Top,330.0
JP4,44.48,30.12,Top,0.0
JP5,40.41,38.74,Top,30.0
JP6,23.85,44.44,Top,90.0
JP7,10.49,33.28,Top,150.0
JP8, 9.60,23.86,Top,180.0
LED1,33.00,17.25,Top,90.0
LED2,37.15,24.63,Top,0.0
R1,20.00,34.00,Top,0.0
R2,30.48,37.60,Top,0.0
R3,32.38,39.02,Top,180.0
R4,20.00,35.56,Top,180.0
R5,32.38,40.08,Top,0.0
R6,33.05,18.75,Top,180.0
R7,37.13,21.25,Top,270.0
R8,24.96,30.94,Top,270.0
R9,28.30,30.90,Top,270.0
R10,27.20,30.90,Top,90.0
R11,32.88,29.45,Top,270.0
R12,35.80,29.88,Top,180.0
R13,38.50,12.44,Top,120.0
R15,35.63,14.25,Top,210.0
S+,21.00,37.50,Top,0.0
S-,33.00,37.50,Top,180.0
S1,17.00,27.00,Top,0.0
SWC,17.54,22.00,Top,0.0
SWC1,15.00,22.00,Top,0.0
SWC2,15.00,19.46,Top,0.0
SWD,17.54,19.46,Top,0.0
U$1,27.00,27.00,Top,0.0
U$2,16.75,32.50,Top,0.0
U$3,35.65,33.00,Top,0.0
U$5,38.94, 6.06,Top,210.0
U1,27.00,18.50,Top,90.0
U2,25.88,38.63,Top,180.0
U3,33.00,22.75,Top,0.0
U4,10.90,17.40,Top,120.0
U5,27.00, 8.30,Top,180.0
U6,43.10,17.37,Top,240.0
U7,45.70,27.00,Top,270.0
U8,43.10,36.60,Top,300.0
U9,27.00,45.70,Top,0.0
U10,10.90,36.60,Top,60.0
U11, 8.30,27.00,Top,90.0
U12,35.81,11.69,Top,300.0
